id,url,event_title,details,access_type,num_tickets_types,ticket_price,date,time,location,venue,organization,google,latitude,longitude,ticket_name,num_guests,event_category,day_of_week,start_time_hours,data_date,date_modified,source,weekday,weekday_num,parsed_tags,assigned_category,general_category,sub_category2,sub_category3
5j52obb4,https://lu.ma/5j52obb4,XR & AI Vancouver Meetup – Web Summit Week Edition,"​We're bringing together the XR and Tech Community for Beers, Ideas & New Tech Frontiers. ​Join fellow XR, AI, and tech enthusiasts in Vancouver for a casual meetup during Web Summit week. Whether you're building the future, investing in it, or just curious to see what’s next, come hang out, swap ideas, and connect with others who care about where immersive tech is going. ​Great conversations and networking over cold beers ​Friendly faces from the XR, AI, and tech worlds ​BYO demos, ideas, and big visions for immersive tech ​Insights on where VR/AR & AI are heading ​📅 Date: May 29⏰ Time: 5:30pm – 8:30pm📍 Location: Moose's Down Under Bar 🫎 (6 minute walk from the Vancouver Convention Center) ​The event is being hosted by the AWE Nites Vancouver team—part of AWE's global community of XR meetups throughout the year. Hit us up on LinkedIn for more info:Navjeet Chhina | Nucleus4DNik Vassev | NovobeingSam Sprigg | AWE / Auganix ​ ​*We’re not affiliated with Web Summit, just tapping into the energy of the week and making the most of everyone being in town. Come by and say hi!",Registration,1.0,0.0,2025-05-29,"Thursday, May 29,5:30 PM - 8:30 PM PDT","830 W Pender St, Vancouver, BC V6C 1J8, Canada",Moose's Down Under Bar and Grill - Vancouver,AWE Nites Vancouver,https://www.google.com/maps/search/?api=1&query=Moose%27s%20Down%20Under%20Bar%20and%20Grill%20-%20Vancouver&query_place_id=ChIJLZ0lbYJxhlQRWlw69YPLrT4,49.285644,-123.116588,['Standard'],294,AI,Thursday,17.5,2025-05-12,2025-06-01 00:23:01.088041,Lu.ma,Thursday,3.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
fjaoslbx,https://lu.ma/fjaoslbx,Canada Tech Week Hangover AI Founders and Funders Power Walk (Free Walk),"​Special Canada Tech Week Power Walk for Startup Founders, Funders, Developers, and Anyone Involved in a Startup or Just Looking to Make New Friends! ​staaake Power Walk: Meet People Without Wasting Time ​A power walk is a themed social walk where you meet people while getting your steps in—no awkward small talk, just a refreshing break from work and screens. ​Why a Power Walk is Better Than a Traditional Meetup ​👥 Meetups – Slow, awkward, and often a hit or miss. You might leave thinking, Was that really worth my time?🚶 Power Walks – No wasted time. You get fresh air, 6,000 steps, and meaningful conversations—all in just one hour! Even if the group isn’t great, you still got your walk in. ​Bonus: Join Our Private WhatsApp Group ​📲 People who join our walk will be in our exclusive Canada Tech Week 2025 WhatsApp group! ​Free WhatsApp Channel here: https://whatsapp.com/channel/0029Vb9wzfC6BIEg7UVtRq1Y ​staaake Canada Tech Week 2025 Excel List ​Stand out from thousands of attendees by being on the Excel list. This will set you apart and make you more visible. ​📄 Join the list: https://docs.google.com/spreadsheets/d/1MHZ0RzVAos79trlpMnuFkSeL-K-HkAC1YFzVvYvV-6A/edit?usp=sharing ​Have your name, link (LinkedIn or company), and what you're looking for—funding, investing, or networking—added to the list. This list will be linked to the opening and closing power walks on Lu.ma, Eventbrite, and will also be emailed to everyone who signed up for those events! ​📢 This event is independently organized and is not affiliated with, endorsed by, or associated with Web Summit. ​Stand Out & Get Exposure! ​🚀 Be part of the staaake List, featured on all our events worldwide. Get noticed, make connections, and put yourself on the map! ​👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇 ​🌍 Join the list: https://www.staaake.in/?staaake ​👆👆👆👆👆👆👆👆👆👆👆👆👆👆👆👆👆👆 ​Arrive Early! ​⏰ We leave on time and won’t be able to text latecomers. Please respect other people’s time, too! ​Event Details ​📍 Meet at: In front of Giovane Caffè, 1049 W Cordova St, Vancouver, BC V6C 0B9, Canada🚶 Lead Power Walker: https://www.staaake.in/?adgolub ​Sponsors: ​nextflag ​https://nextflag.app ​ ​VideoRelations ​videorelations.com  ​staaake ​https://lu.ma/staaake ​Instagram: @staaake",Get Tickets,3.0,170.0,2025-05-30,"Friday, May 30,6:00 PM - 7:00 PM PDT",,,staaake,,49.288049,-123.117133,"['Standard', 'Excel List', 'Be a Sponsor']",395,AI,Friday,18.0,2025-05-12,2025-06-01 00:23:01.088041,Lu.ma,Friday,4.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
lbr3mskh,https://lu.ma/lbr3mskh,So You Have an AI Idea? What Founders Wish They Knew Before Launching,"​Join us for an exclusive happy hour gathering during Web Summit Vancouver – a curated side event designed for early-stage AI founders and early-stage VCs who are passionate about shaping what’s next in AI. ​Whether you're ideating, prototyping, building your MVP, or securing your first paying pilot, this event offers raw, honest insights from founders who’ve been there – and from the ecosystem players who helped them get through it. ​​💡 In partnership with Alchemist Accelerator ​ ​In this candid conversation, you'll hear from both sides of the early-stage journey — the founder building at the edge of innovation, and the accelerator partner helping them push through. ​Arthur Chen, Co-founder & CEO of Verdi – a climate-smart agritech startup backed by NEC X ​Shannon Gavrilchuk, Program Manager at Alchemist Accelerator – one of the top accelerators for enterprise-focused startups ​Moderated by Ryoko Hirano, Director of Venture Studio and Marketing at NEC X, this session will unpack the real challenges of building an AI startup from scratch: how to validate your idea, where to find the right partners, when to take on funding, and what early support actually makes a difference. ​Expect honest insights, practical takeaways, and a rare glimpse into how founders and ecosystem builders work together to turn ideas into impact. ​ ​6:00 PM – 6:30 PM | Arrival & Welcome DrinksCheck in, grab a drink, and start meeting fellow founders and investors. ​6:25 PM – 6:30 PM | Opening RemarksQuick welcome and intro from the Elev X! team. ​6:30 PM – 6:50 PM | 🔥 Fireside ChatWhat Founders Wish They Knew Before Launching From idea to impact: how bold AI founders and ecosystem builders make it happen ​6:50 PM – 8:00 PM | Networking & DrinksRelax, connect, and build meaningful relationships with other founders, investors, and ecosystem leaders. Light refreshments will be served. ​ ​This event brings together bold AI founders and early-stage investors in one room — offering a unique opportunity to exchange ideas, spark partnerships, and build meaningful relationships that move startups forward and help investors discover what’s next. ​ ​🔹 Startup-CentricEngage with fellow founders, gain valuable insights from seasoned investors, and connect with industry experts from leading companies. ​🔹 Present Your StartupShowcase your vision and traction in conversations with investors and ecosystem leaders. ​🔹 Investor-ConnectedEngage with a curated network of active investors to explore funding opportunities — connecting with angel investors and early-stage VCs who are scouting promising AI startups and committed to building long-term partnerships from day one. ​🔹 NetworkingBuild meaningful relationships with highly curated participants, including investors, mentors, and fellow founders, fostering potential collaborations and investments. ​ ​Elev X! is NEC X’s venture studio program, dedicated to investing in and scaling early-stage tech startups. Backed by NEC, a global tech giant with over $20B in revenue, presence in 50+ countries, and 250+ subsidiaries, Elev X! provides hands-on support with world-class resources to propel startups from idea to impact. ​🔹 Backed by NEC: 125 years of tech innovation, $8B in R&D, and 45,000+ patents🔹 Hands-On Support: Beyond funding, we provide deep collaboration with NEC engineers and business experts🔹 AI & Deep Tech Focused: Elev X! invests in AI-driven startups pushing the boundaries of innovation ​ ​✅ Alchemist Accelerator – A top accelerator for enterprise startups✅ SVG Ventures | THRIVE – The leading Agri-Food Tech ecosystem✅ Sand Hill Angels – Leading Silicon Valley angel investors✅ Carbide Ventures – Early-stage VC led by entrepreneurs who built multiple unicorns✅ ERA (Entrepreneurs Roundtable Accelerator) – One of NYC’s top startup accelerators✅ Translink Capital – A top-tier VC with deep global networksand more! ​",Registration,3.0,0.0,2025-05-29,"Thursday, May 29,6:00 PM - 8:00 PM PDT",,,Elev X! by NEC X,,49.283586,-123.103883,"['Founder', 'Investor', 'Media']",184,AI,Thursday,18.0,2025-05-12,2025-06-01 00:23:01.088041,Lu.ma,Thursday,3.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
pmhivemay2025happyhour,https://lu.ma/pmhivemay2025happyhour,Happy Hour - PMs in Vancouver! (Week of Web Summit),"​🍺 Join us for a happy hour for Product & Tech people who want to contribute to the energy of Vancouver's buzzing tech scene! ​Come join us for some post-Web Summit Day 2 vibes & networking! :) ​Casual conversations ​Fun vibes ​A safe space to share your tech stories & knowledge! ​​PMs and Techies  ​Directors and VPs ​VCs and Founders ​​Anyone intending to aggressively pitch themselves for jobs or promote products/services ​​Individuals who are not respectful of their peers ​​By signing up for PM Hive events, you agree to join PM Hive's Luma newsletter (opt out anytime). ​​Event photos may be used by PM Hive for marketing purposes. ​Please only show up if you're accepted. Due to the event capacity constraints, we're unable to fit everyone. ​Note: There is no formal dress code for this event. ​​We can’t wait to see you there! ✨ ​​- Your hosts, Sarim Khawaja, Kasey Fu, and Divya Rakhiani!",Registration,1.0,0.0,2025-05-28,"Wednesday, May 28,6:30 PM - 8:30 PM PDT",,,PM Hive,,49.281883,-123.124164,['Standard'],225,,Wednesday,18.5,2025-05-12,2025-06-01 00:23:01.088041,Lu.ma,Wednesday,2.0,[],Networking,Business and Professional,Networking,
pu4qv1dx,https://lu.ma/pu4qv1dx,Innovation & Investment Insider Tours,"​Join us for the Innovation & Investment Insider Tours, a curated investor experience showcasing groundbreaking innovation in cleantech, life sciences, and creative tech. Connect with high-growth companies, industry leaders, and investors in a dynamic setting designed for meaningful conversation. Taking place on Monday, May 26, ahead of Web Summit Vancouver (May 27-30), this full-day experience charters investors across the Metro Vancouver region. ​The event will begin with transportation from downtown Vancouver to Surrey, the fastest-growing city in the Metro Vancouver region, for a networking lunch, followed by three sector-specific investment tours. Attendees will be guided through innovation clusters in their choice of focus area, cleantech, life sciences, or creative tech (digital media & entertainment and AI), visiting leading companies, anchor institutions, and strategic business locations to gain firsthand insights into investment opportunities. After the tours, participants will be transported back to Vancouver to high-value evening networking events. ​Agenda Highlights (note: all timings are approximate and will be confirmed closer to the event): ​Bus Pick-up at Vancouver Art Gallery (10:00am) - departure from Howe Street in Vancouver.   ​Luncheon in Surrey (11:00 AM - 12:30 PM) - get a head start on Web Summit Vancouver through exclusive access to key leaders and innovators in the Metro Vancouver region.  ​Curated Bus Tours (12:30 PM - 4:30 PM) - engage with top companies across the Metro Vancouver region. ​The Cleantech Tour features Ph7 Technologies, Hydron Energy, and Arca Climate ​The Life Sciences Tour features Kardium, Gandeeva Therapeutics, and AbCellera ​The Creative Tech Tour features digital media and entertainment companies and more ​Evening Receptions - connect with visionary business leaders following the tour.  ​Venture Showcase: Meet a select group of Series A+ and fast-growing Seed+ companies through rapid-fire pitches and networking at SFU Venture Labs (4:00 - 6:30 PM) ​CICE: wrap-up the tour at 33 Acres with a refreshing beverage and the latest investment opportunities in the cleantech sector ​Designed for those seeking to invest in local companies, create strategic business partnerships, or establish a presence in the region, this curated experience extends beyond the conference floor to provide a high-impact, immersive look at the Metro Vancouver region’s investment potential. ​Questions? Contact: info@investvancouver.ca ​Hosted in partnership by: Invest Vancouver, InBC Investment Corp, SFU Venture Labs, B.C. Centre for Innovation & Clean Energy (CICE), Life Sciences BC, DigiBC, AInBC, Invest Surrey, Innovation UBC, and the Naturally Innovative Alliance.",Registration,4.0,0.0,2025-05-26,"Monday, May 26,10:00 AM - 6:00 PM PDT","BC, Canada",Metro Vancouver,Invest Vancouver,https://www.google.com/maps/search/?api=1&query=Metro%20Vancouver&query_place_id=ChIJpd_5BZDOYlQRpvz0npdsnM4,49.32247,-122.856839,"['Networking Lunch (11:00-12:30)', 'Luncheon + Cleantech Tour', 'Luncheon + Creative Tech Tour', 'Luncheon + Life Sciences Tour']",0,Climate,Monday,10.0,2025-05-12,2025-06-01 00:23:01.088041,Lu.ma,Monday,0.0,['Climate'],Climate,Environment and Sustainability,Climate,
ryhi32pu,https://lu.ma/ryhi32pu,Hong Kong Night @Web Summit Vancouver: Aceocial x HKETO x IHK,"​Looking to tap into Hong Kong’s growing influence in Fintech, Web3, Blockchain, Crypto, and Virtual Assets?Join us to gain first-hand insights into Hong Kong’s crypto-friendly regulations, government funding programs, and strategies for expanding your business into Asia’s thriving markets.Whether you're building the next unicorn or scouting your next big investment, Hong Kong Night brings you face-to-face with new connections and exciting opportunities!Program Highlights (Drinks and light bites provided):·        5:15 – 5:30 PM: Registration & Welcome Drink·        5:30 – 6:15 PM: Fireside Chat + Live Q&A·        6:15 – 7:30 PM: Networking ​Fireside Chat Speakers:🔥 Rocky Tung – Director and Head of Policy Research at the Financial Services Development Council (LinkedIn)🎤 Moderated by Christopher Chen – Head of InvestHK (Canada) (LinkedIn)Come join us for an evening of insights, opportunities, and connections for founders, investors and community partners at Web Summit Vancouver.Location: Downtown Vancouver (Successful registrant will be notified by confirmation email.)​Co-Hosts:About The Hong Kong Economic and Trade Office (Toronto) (HKETO)https://www.linkedin.com/company/hketotorontoThe Hong Kong Economic and Trade Office (Toronto) is the official representative of the Government of the Hong Kong Special Administrative Region of the People’s Republic of China in Canada. Since the office's establishment in October 1991, we have been actively fostering closer economic and trade ties between Hong Kong and Canada.About Invest Hong Kong (Canada) (IHK)https://www.linkedin.com/company/invest-hong-kong-canada  Invest Hong Kong (Canada) is the foreign direct investment department of the Government of the Hong Kong Special Administrative Region of the People’s Republic of China in Canada. We encourage and facilitate Canadian businesses to set up and expand into Asia via Hong Kong by offering a wide range of customised services, free of charge to help companies to advance their business plan.​About Aceocial:  ​​​https://www.linkedin.com/company/aceocialWe are a community organization for founders, investors and builders, helping to unite founders in driving impact and making meaning together. It also inspires to bring access and opportunity to shortcut young emerging technology leaders’ road to success.​Supporting Partners:​​Hong Kong Tourism Board (Canada)(https://www.discoverhongkong.com/us/index.html)​Hong Kong Trade Development Council (Toronto) (https://www.hktdc.com/)​NOTE: By registering for this event, you consent to share your email address with the event hosts to receive information and updates for future communications.",Registration,1.0,0.0,2025-05-29,"Thursday, May 29,5:30 PM - 7:30 PM PDT",,,Michael Liu,,49.282729,-123.120738,['Standard'],132,Crypto,Thursday,17.5,2025-05-12,2025-06-01 00:23:01.088041,Lu.ma,Thursday,3.0,['Crypto'],Blockchain and Crypto,Technology and Innovation,Blockchain and Crypto,
vtwwebsummit,https://lu.ma/vtwwebsummit,VTW at Web Summit Kickoff: How to invest time wisely with AI,"​Vancouver Tech Week is hosting a special panelist discussion and networking night for founders, investors, and senior technical directors in the industry! ​Our keynote speaker is currently being confirmed. ​Our panel will feature: ​Alexandre Ackermans, VP of Engineering at Maximizer ​James Clift, Founder of Durable ($20M Series A) ​Rodrigo Molina, Design & Eng Ops Manager @ MetaLab ​Mark Hazlett, VP of Product at Jane.app ​6-6:30 Introduction and Settle In ​6:30-7 Keynote Speaker ​7-8 Panel Discussion + Q&A ​8-9 Networking ​​ Date: 26th May, 2025🕒 Time: 6-9 PM📍 Location: Concord Pacific Vancouver Presentation Centre ​Food and beverages provided! ​Senior techies (all functions), VCs, Investors, and established founders! Expect the following composition of people: ​20% Senior Engineers/PMs/Designers/Directors ​40% Founders ​40% VCs and Investors ​Founded in 1987 and a pioneer in CRM technology, Maximizer offers an AI-driven CRM platform designed for fast deployment. More than just a tool for sales teams, it empowers sales leaders overseeing teams to drive growth and retention through actionable intelligence. AI-assisted summaries and exception alerts provide real-time insights that surpass traditional forecasting, enabling timely, impactful decisions. Over the years, Maximizer has helped over 120,000 global customers and 1 million users.  ​​​​​​We are actively seeking sponsors to support our events. For more details, please contact us at kasey@vantechweek.com. ​​​By signing up for Vancouver Tech Week events, you agree to join our Luma newsletter (opt-out anytime). ​​​Event photos may be used by VTW for marketing purposes. ​​Tickets are non-refundable if you cancel. ​p.s. due to space limitations, we won’t be able to accommodate everyone.",Get Tickets,4.0,2.5,2025-05-26,"Monday, May 26,6:00 PM - 9:00 PM PDT","88 Pacific Blvd, Vancouver, BC V6A 0A3, Canada",Concord Pacific Vancouver Presentation Centre,Vancouver Tech Week,https://www.google.com/maps/search/?api=1&query=Concord%20Pacific%20Vancouver%20Presentation%20Centre&query_place_id=ChIJbfgnqmRxhlQRL4xSdT8aYzk,49.275913,-123.105627,"['Investor/VC Pass', 'Founder Pass', 'Tech Leader Pass', 'Standard']",131,AI,Monday,18.0,2025-05-12,2025-06-01 00:23:01.088041,Lu.ma,Monday,0.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
0icqzv6n,https://lu.ma/0icqzv6n,"🍳 Breakfast of Builders, Powered by Fresh Founders","​Start your Web Summit morning with founders who actually build. ​We’re hosting a small, curated breakfast for early-stage founders who are scaling real companies, closing real rounds, and pushing through real challenges. No fluff, no tourists. ​Fresh Founders began as a private dinner club started by Shopify’s Tobi Lütke. Today, it’s a national community of high-performing founders, exited operators, and VC-backed builders sharing what works and what doesn’t, off the record, founder to founder. ​What to expect: ​🤝 High-signal convos with serious builders ​🧠 Raw insights on fundraising, legal ops, GTM and early traction ​☕ Great coffee, real talk, breakfast, no panels ​🔒 Invite-only, highly curated to keep the energy high-quality ​📍 Gastown Vancouver (address shared upon acceptance) ​If you’re in the thick of building and want to swap notes with others doing the same, apply now. We’ll keep it sharp, useful, and founder-first. ​👤 About Ben Su ​Ben Su is the Toronto Lead at Fresh Founders and co-founder of Capita, a full-stack AI law firm for startups backed by Drive Capital, Hyperplane, and Fresh Founders LP. A former tech lawyer, Ben now helps founders close rounds, structure equity, and scale with fewer legal headaches.",Registration,1.0,0.0,2025-05-29,"Thursday, May 29,8:00 AM - 11:00 AM PDT",,,Toronto Tech,,49.282448,-123.103405,['Standard'],13,,Thursday,8.0,2025-06-01,,Lu.ma,Thursday,3.0,[],Dining In/Out,Food and Drink,Dining In/Out,
220lej5c,https://lu.ma/220lej5c,Llamapreneurs AI Builders and Creators Vancouver Networking Meetup,"​Join us for THE AI startup and solopreneur networking event this week. Llamapreneurs' co-founders, Ethan Pierse and Pascal Condamine, are MCing stages at Web Summit and that means it is a perfect opportunity to kick off Llamapreneurs Vancouver! ​🦙 AI-First founders and entrepreneurs🦙 Indie hackers and builders🦙 Solopreneurs🦙 AI startupsInterested in generative and agentic AI, vibe coding, vibe marketing, workflow automation, small-team entrepreneurship? let's meet! ​​This is an informal drinks and networking. No content, just good people and a good beer. ​​If you would like to pitch your startup, send a message. ​​If you would like to host us in your offices and/or sponsor drinks, let us know.  ​​ ​​— ​​Why ""Llamapreneurs""? Llamas are the spirit animal of our LLM-powered experience. Llamapreneurs is the largest, fastest growing AI-focused global community. Find your tribe 🦙🤖",Registration,1.0,0.0,2025-05-29,"Thursday, May 29,6:00 PM - 8:00 PM PDT",,,Llamapreneurs,,49.288329,-123.120494,['Standard'],50,AI,Thursday,18.0,2025-06-01,,Lu.ma,Thursday,3.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
77pawlwk,https://lu.ma/77pawlwk,Where Tech Meets Web3: A Networking Happy Hour by Wonder,"​Join us for an evening of connection, conversation, and curiosity during Vancouver Web Summit, as WonderFi Labs presents Wonder, our new Layer 2 built for what’s next in Web3.  ​Whether you're a developer, builder, or simply exploring the blockchain space, this is your chance to meet the team behind Wonder and network with fellow tech professionals in a relaxed setting. ​🗓 Thursday, May 29🕔 5–8 PM📍 Mahony's Tavern Convention Centre🍻 Appetizers & drinks provided ​Come for the drinks, stay for the connections. ​We’re excited to meet you IRL!",Registration,1.0,0.0,2025-05-29,"Thursday, May 29,5:00 PM - 8:00 PM PDT",,,WonderFi Labs,https://www.google.com/maps/search/?api=1&query=Mahony%27s%20Tavern,,,['Standard'],92,Crypto,Thursday,17.0,2025-06-01,,Lu.ma,Thursday,3.0,['Crypto'],Blockchain and Crypto,Technology and Innovation,Blockchain and Crypto,
7w1mvuap,https://lu.ma/7w1mvuap,Indigenous Tech Pre-Web Summit Gathering,"​Web Summit Vancouver is bringing the world to our doorstep—let’s start by connecting. ​Join Indigenous founders, builders, innovators and allies from across Turtle Island and around the globe for a welcoming pre-event co-hosted by Indigenous Tech Circle and Raven Indigenous Capital Partners in partnership with InnovateBC, TELUS and Invest Vancouver. This gathering is your chance to meet fellow Indigenous leaders, share stories, and build relationships before the main event kicks off. ​Whether you're local to the Vancouver tech scene or arriving from afar, this is a space to connect with the community, ground yourself before the summit, and tap into the energy of Indigenous innovation. ​Light refreshments and bites, meaningful conversations, and good company are guaranteed. ​In Partnership with Innovate BC, TELUS and Invest VancouverRoad to Web Summit Vancouver: In support of Web Summit Vancouver, Innovate BC is proud to deliver a sector development initiative to help B.C. startups maximize their Web Summit Vancouver experience and capitalize on its potential to support their growth. This initiative is called Road to Web Summit Vancouver, Powered by Innovate BC (R2WSV).https://www.innovatebc.ca/events/TELUS, in partnership with Indigenous Peoples, is committed to progressing the path of reconciliation in a deeply meaningful way, and is dedicated to fulfilling our role and responsibilities in alignment with Indigenous-led frameworks of reconciliation. We are working on implementing our Indigenous Reconciliation Action Plan, continuing to push for innovation and creativity through supporting the goals of Indigenous communities.www.telus.com/reconcilationInvest Vancouver is Metro Vancouver’s regional economic development service. Our mandate is to secure strategic investment to facilitate the creation of high-value jobs in order to advance shared prosperity for the residents of the region. Within this mandate, we support economic reconciliation across the region and stand with Indigenous businesses on their unique paths. Working collaboratively with Indigenous business leaders, we can create economic development opportunities that will lead to better, more equitable prospects and outcomes for all involved.https://investvancouver.ca/",Registration,1.0,0.0,2025-05-26,"Monday, May 26,5:00 PM - 7:00 PM PDT",,,Tech Circle,https://www.google.com/maps/search/?api=1&query=TELUS%20Garden%2C%2024th%20Floor%2C%20510%20W%20Georgia%20St%2C%20Vancouver%2C%20BC,,,['Standard'],130,,Monday,17.0,2025-06-01,,Lu.ma,Monday,0.0,[],Politics,Society and Current Affairs,Politics,
8wq2omak,https://lu.ma/8wq2omak,Grouse Grind at WebSummit,"​Attending WebSummit Vancouver and want to get out of the city on Friday morning and climb up Grouse Mountain?The trail is a 2.5-km (1.55-mile) ascent with an elevation gain of 800 meters (2,624 feet) and 2,830 steps. It typically takes 2 to 2.5 hours to complete for those with a good level of fitness. ​Starting location: https://www.google.com/maps/place/Grouse+Grind/@49.3775567,-123.0879443,932m/data=!3m1!1e3!4m14!1m7!3m6!1s0x54866f851af112d7:0xc4e64d7162e0ecb7!2sGrouse+Mountain+@+Skyride!8m2!3d49.372151!4d-123.099143!16s%2Fm%2F04zmh0v!3m5!1s0x5486657c696243ab:0x3c75d86ac4ef738b!8m2!3d49.3788682!4d-123.0834252!16s%2Fg%2F11h9x354zh?entry=ttu&g_ep=EgoyMDI1MDQyOC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Registration,1.0,0.0,2025-05-30,"Friday, May 30,8:30 AM - 11:30 AM PDT","6400 Nancy Greene Way, North Vancouver, BC V7R 4W1, Canada",Grouse Grind Trail,Roy Pereira,https://www.google.com/maps/search/?api=1&query=Grouse%20Grind%20Trail&query_place_id=ChIJs2hUjUVvhlQR56Smx3YJpnM,49.371237,-123.098423,['Standard'],12,Fitness,Friday,8.5,2025-06-01,,Lu.ma,Friday,4.0,['Fitness'],Fitness and Exercise,Healthy Lifestyle,Fitness and Exercise,
a0or8dhx,https://lu.ma/a0or8dhx,Flavour Hour,"​Join us for Flavour Hour — a relaxed tasting of coffee and chocolate with a dash of AI.Take our Flavour Quiz on-site to uncover your Flavour Personality, then sip and bite your way through the samples. ​☕ Try artisan roasts🍫 Sample rich chocolates🧠 Unlock your profile with our AI quiz🎉 Connect with fellow flavour fans ​No pairings. No pressure. Just a delicious way to meet your palate — and yourself.",Registration,1.0,0.0,2025-05-29,"Thursday, May 29,4:00 PM - 5:30 PM PDT","1025 Dunsmuir St, Vancouver, BC V7X 1M5, Canada",FUNK. Coffee Bar,Flavrite,https://www.google.com/maps/search/?api=1&query=FUNK.%20Coffee%20Bar&query_place_id=ChIJnTr-rolxhlQRiw9cIoI-Luc,49.286226,-123.120648,['Standard'],50,AI,Thursday,16.0,2025-06-01,,Lu.ma,Thursday,3.0,['AI'],"AI, Data Science, and ML",Technology and Innovation,"AI, Data Science, and ML",
a8qpk75y,https://lu.ma/a8qpk75y,Toronto Picnic @ Websummit,"​Join us on Monday to network with other websummit guests from Toronto!  ​This is in a public park to accomodate up to 250 people. Bring a picnic, throw out a towel, and meet+greet other founders, investors, and innovators from the GTA.  ​Web Summit is not directly associated with the advertised event in any way.",Registration,1.0,0.0,2025-05-30,"Friday, May 30,3:00 PM - 4:00 PM PDT",,,Radd Studio Inc,,49.294636,-123.135323,['Standard'],69,,Friday,15.0,2025-06-01,,Lu.ma,Friday,4.0,[],Culinary Experiences,Food and Drink,Culinary Experiences,
ei9h7dt2,https://lu.ma/ei9h7dt2,Unofficial Web Summit Founder Co-Working Lounge by Capita.io,"​Hosted at Capita’s Gastown Hacker House In town for Web Summit and need a break from the chaos? We’re opening up our Gastown hacker house for a small group of early-stage founders to cowork, recharge, and have real conversations with others who are actually building. ​❌ No panels❌ No pitches✅ Just coffee, snacks, and real talk about what’s working, what’s not, and how people are figuring things. ​💼 Why You Should Come: ​🧠 Fundraising strategy from founders who’ve raised from top-tier VCs (Drive, Hyperplane, Fresh Founders) ​🧾 Equity structure & legal ops best practices you won’t get from Twitter or generic lawyers ​🤝 Peer intros to high-achieving founders also in the trenches ​👀 Feedback loops on your raise, stack, or GTM from people who’ve actually done it ​🧘‍♀️ A quiet space to catch your breath, catch up on work, or hold meetings away from the noise ​💡 We’ll also be sharing what we’ve learned along the way:Capita is backed by top-tier VCs like Drive Capital, Hyperplane, and Fresh Founders. We run legal ops for fast-growing, VC-backed startups, and we’re happy to share what actually works when it comes to raising, structuring equity, and scaling as a founder. ​⚠️ Spots are limited. This is an application-only event.We’re curating for founder-event fit to keep the vibe high signal. If that’s you, we’d love to have you. ​🕘 Drop in anytime from 9am to 5pm📬 Location is in Gastown. Address will be shared with selected founders.About me: I'm Toronto Lead at Fresh Founders and co-founder of Capita, a full-stack AI law firm for startups backed by Drive Capital, Hyperplane, and Fresh Founders LP. A former tech lawyer, Ben is building Capita to help founders close rounds, structure equity, and scale with fewer legal headaches.",Registration,1.0,0.0,2025-05-29,"Thursday, May 29,9:30 AM - 5:00 PM PDT",,,Toronto Tech,,49.282448,-123.103405,['Standard'],23,,Thursday,9.5,2025-06-01,,Lu.ma,Thursday,3.0,[],Entrepreneurship,Business and Professional,Entrepreneurship,
